,PICARD_PCT,RIKER_PCT,DATA_PCT,WORF_PCT,TROI_PCT,BEVERLY_PCT,GEORDI_PCT,Q_PCT,LORE_PCT,WESLEY_PCT,GUINAN_PCT,TASHA_PCT,PULASKI_PCT,RATING
129,29.18,13.01,24.61,8.09,17.62,1.51,3.94,0.0,0.0,2.04,0.0,0.0,0.0,7.5
130,14.92,18.85,9.56,9.38,10.69,0.0,10.84,0.0,0.0,11.48,0.0,0.0,14.28,6.199999999999978
131,62.6,11.22,8.12,3.0,0.0,10.75,4.32,0.0,0.0,0.0,0.0,0.0,0.0,9.300000000000052
132,41.52,17.15,18.9,2.7,3.45,1.9,8.17,0.0,0.0,0.0,0.0,6.21,0.0,6.300000000000011
133,16.38,9.32,15.98,2.72,33.4,8.23,9.22,0.0,0.0,0.0,4.75,0.0,0.0,6.0
134,37.12,9.74,3.83,2.01,21.66,0.78,24.86,0.0,0.0,0.0,0.0,0.0,0.0,6.699999999999969
135,51.85,12.93,26.61,0.42,1.25,0.0,1.31,0.0,0.0,0.36,3.59,0.0,1.67,9.0
136,19.32,7.71,26.45,6.45,4.5,2.63,32.94,0.0,0.0,0.0,0.0,0.0,0.0,7.699999999999965
137,16.32,11.85,30.79,7.34,2.36,4.68,20.35,0.0,0.0,6.31,0.0,0.0,0.0,7.6999999999999815
138,26.71,15.04,9.87,3.86,4.5,13.39,4.97,0.0,0.0,13.04,0.0,8.62,0.0,6.5
139,29.94,17.94,19.07,8.77,6.52,11.39,5.37,0.0,0.0,1.0,0.0,0.0,0.0,7.400000000000059
140,17.5,13.7,27.51,6.37,0.0,2.58,32.34,0.0,0.0,0.0,0.0,0.0,0.0,8.300000000000034
141,19.9,9.39,13.3,6.99,13.9,13.1,23.41,0.0,0.0,0.0,0.0,0.0,0.0,8.0
142,26.97,0.33,49.85,0.41,6.73,5.27,1.76,0.0,0.0,3.24,5.44,0.0,0.0,8.400000000000057
143,11.6,57.31,2.76,6.73,5.3,9.71,6.59,0.0,0.0,0.0,0.0,0.0,0.0,6.599999999999947
144,35.35,9.09,26.47,6.6,2.21,0.0,4.49,0.0,0.0,5.23,8.99,0.0,1.58,6.19999999999998
145,43.18,33.09,10.5,5.01,1.5,1.34,5.38,0.0,0.0,0.0,0.0,0.0,0.0,8.5
146,63.2,12.45,4.91,3.05,0.0,8.58,2.12,5.68,0.0,0.0,0.0,0.0,0.0,7.400000000000052
147,22.84,19.54,9.92,3.25,27.56,3.71,9.75,0.0,0.0,3.42,0.0,0.0,0.0,6.300000000000007
